Years,Months,Passengers
2001,January,112
2001,February,118
2001,March,132
2001,April,129
2001,May,121
2001,June,135
2001,July,148
2001,August,148
2001,September,136
2001,October,119
2001,November,104
2001,December,118
2002,January,115
2002,February,126
2002,March,141
2002,April,135
2002,May,125
2002,June,149
2002,July,170
2002,August,170
2002,September,158
2002,October,133
2002,November,114
2002,December,140
2003,January,145
2003,February,150
2003,March,178
2003,April,163
2003,May,172
2003,June,178
2003,July,199
2003,August,199
2003,September,184
2003,October,162
2003,November,146
2003,December,166
2004,January,171
2004,February,180
2004,March,193
2004,April,181
2004,May,183
2004,June,218
2004,July,230
2004,August,242
2004,September,209
2004,October,191
2004,November,172
2004,December,194
2005,January,196
2005,February,196
2005,March,236
2005,April,235
2005,May,229
2005,June,243
2005,July,264
2005,August,272
2005,September,237
2005,October,211
2005,November,180
2005,December,201
2006,January,204
2006,February,188
2006,March,235
2006,April,227
2006,May,234
2006,June,264
2006,July,302
2006,August,293
2006,September,259
2006,October,229
2006,November,203
2006,December,229
2007,January,242
2007,February,233
2007,March,267
2007,April,269
2007,May,270
2007,June,315
2007,July,364
2007,August,347
2007,September,312
2007,October,274
2007,November,237
2007,December,278
2008,January,284
2008,February,277
2008,March,317
2008,April,313
2008,May,318
2008,June,374
2008,July,413
2008,August,405
2008,September,355
2008,October,306
2008,November,271
2008,December,306
2009,January,315
2009,February,301
2009,March,356
2009,April,348
2009,May,355
2009,June,422
2009,July,465
2009,August,467
2009,September,404
2009,October,347
2009,November,305
2009,December,336
2010,January,340
2010,February,318
2010,March,362
2010,April,348
2010,May,363
2010,June,435
2010,July,491
2010,August,505
2010,September,404
2010,October,359
2010,November,310
2010,December,337
2011,January,360
2011,February,342
2011,March,406
2011,April,396
2011,May,420
2011,June,472
2011,July,548
2011,August,559
2011,September,463
2011,October,407
2011,November,362
2011,December,405
2012,January,417
2012,February,391
2012,March,419
2012,April,461
2012,May,472
2012,June,535
2012,July,622
2012,August,606
2012,September,508
2012,October,461
2012,November,390
2012,December,432
