channels,subs,views
PewDiePie,83.1,20329
T-Series,82.9,61057
5-Minute Crafts,48,12061
Canal KondZilla,46.1,22878
Justin Bieber,43.1,601
SET India,40.7,28573
WWE,39.2,29886
Dude Perfect,38.7,7168
HolaSoyGerman,36.9,3790
Ed Sheeran,36.8,15926
EminemMusic,35.8,637
Badabun,35,19388
Cocomelon - Nursery Rhymes,34.8,9737
whinderssonnunes,34.2,2801
JustinBieberVEVO,33.9,18375
elrubiusOMG,33.5,7313
JuegaGerman,32.7,8730
Taylor Swift,32.2,233
Katy Perry,32.1,357
Fernanfloo,31.8,706
Ariana Grande,31.6,6755
Rihanna,31.2,59
TheEllenShow,30.6,14847
Zee Music Company,30.3,14614
Felipe Neto,30.2,5938
One Direction,28.7,330
YouTube Spotlight,28,1833
TaylorSwiftVEVO,27.8,16161
EminemVEVO,26.4,12548
KatyPerryVEVO,26.4,16890
