hex_ident,altitude(feet),latitude,longitude,date,time,angle,distance(nauticalmile),squawk,ground_speed(knotph),track,callsign
40631C,14525,53.65947,-1.43819,2017/09/11,17:02:06.418,-120.77,11.27,6276,299,283,
40631C,14525,53.65956,-1.43921,2017/09/11,17:02:06.875,-120.64,11.3,6276,299,283,
40631C,14500,53.65979,-1.44066,2017/09/11,17:02:07.342,-120.43,11.32,6276,299,283,EZY63BT 
40631C,14475,53.66025,-1.44447,2017/09/11,17:02:09.238,-119.94,11.4,6276,299,283,EZY63BT 
40631C,14475,53.66044,-1.44591,2017/09/11,17:02:09.825,-119.75,11.43,6276,299,283,EZY63BT 
40631C,14450,53.66030,-1.44462,2017/09/11,17:02:10.289,-119.91,11.4,6276,299,283,EZY63BT 
40631C,14450,53.66072,-1.44793,2017/09/11,17:02:10.684,-119.49,11.47,6276,299,283,EZY63BT 
40631C,14450,53.66089,-1.44941,2017/09/11,17:02:11.202,-119.31,11.51,6276,299,283,EZY63BT 
40631C,14425,53.66114,-1.45133,2017/09/11,17:02:12.186,-119.06,11.55,6276,299,283,EZY63BT 
40631C,14400,53.66148,-1.45373,2017/09/11,17:02:13.168,-118.76,11.6,6276,299,283,EZY63BT 
40631C,14400,53.66179,-1.45609,2017/09/11,17:02:14.220,-118.47,11.65,6276,299,283,EZY63BT 
40631C,14350,53.66254,-1.46197,2017/09/11,17:02:16.841,-117.77,11.78,6276,299,283,EZY63BT 
40631C,14325,53.66300,-1.46530,2017/09/11,17:02:18.286,-117.38,11.85,6276,299,283,EZY63BT 
40631C,14325,53.66309,-1.46636,2017/09/11,17:02:18.741,-117.26,11.87,6276,299,283,EZY63BT 
40631C,14300,53.66295,-1.46503,2017/09/11,17:02:19.263,-117.41,11.84,6276,299,283,EZY63BT 
40631C,14300,53.66342,-1.46878,2017/09/11,17:02:19.852,-116.98,11.93,6276,299,283,EZY63BT 
40631C,14275,53.66396,-1.47272,2017/09/11,17:02:21.619,-116.54,12.01,6276,299,283,EZY63BT 
40631C,14225,53.66449,-1.47710,2017/09/11,17:02:23.390,-116.07,12.12,6276,299,283,EZY63BT 
40631C,14225,53.66463,-1.47798,2017/09/11,17:02:23.784,-115.97,12.14,6276,299,283,EZY63BT 
40631C,14175,53.66551,-1.48480,2017/09/11,17:02:26.734,-115.25,12.29,6276,299,283,EZY63BT 
