id_report,date_report,description,created_date,lat,lon
138,01/01/2005 12:00:00 AM,Poaching incident,2005/01/01 12:00:00 AM,-7.049359, 34.84144
4,01/20/2005 12:00:00 AM,Poaching incident,2005/01/20 12:00:00 AM,-7.65084, 34.48001
43,01/20/2005 12:00:00 AM,Poaching incident,2005/02/20 12:00:00 AM,-7.843201803, 34.00570378
98,01/20/2005 12:00:00 AM,Poaching incident,2005/02/21 12:00:00 AM,-7.745846318, 33.94852605
141,01/20/2005 12:00:00 AM,Poaching incident,2005/02/22 12:00:00 AM,-7.876673178, 33.69016657
193,01/20/2005 12:00:00 AM,Poaching incident,2005/03/27 12:00:00 AM,-7.466248273, 34.06672945
245,01/20/2005 12:00:00 AM,Poaching incident,2005/03/28 12:00:00 AM,-7.946152611, 34.22059204
11,01/27/2005 12:00:00 AM,Poaching incident,2005/03/29 12:00:00 AM,-7.92599, 34.85712
50,01/27/2005 12:00:00 AM,Poaching incident,2005/04/27 12:00:00 AM,-6.997260834, 34.87839397
105,01/27/2005 12:00:00 AM,Poaching incident,2005/04/28 12:00:00 AM,-7.512589771, 34.75309538
148,01/27/2005 12:00:00 AM,Poaching incident,2005/04/29 12:00:00 AM,-7.383401113, 34.44807647
200,01/27/2005 12:00:00 AM,Poaching incident,2005/05/28 12:00:00 AM,-7.860989438, 33.75904015
252,01/27/2005 12:00:00 AM,Poaching incident,2005/05/29 12:00:00 AM,-7.550275441, 34.75658192
12,01/28/2005 12:00:00 AM,Poaching incident,2005/05/30 12:00:00 AM,-7.88602, 34.83804
51,01/28/2005 12:00:00 AM,Poaching incident,2005/05/31 12:00:00 AM,-7.032818353, 34.8769895
106,01/28/2005 12:00:00 AM,Poaching incident,2005/06/28 12:00:00 AM,-7.556977737, 34.4948887
149,01/28/2005 12:00:00 AM,Poaching incident,2005/06/29 12:00:00 AM,-8.174582139, 34.04487134
201,01/28/2005 12:00:00 AM,Poaching incident,2005/07/04 12:00:00 AM,-7.838973216, 33.77426398
253,01/28/2005 12:00:00 AM,Poaching incident,2005/07/30 12:00:00 AM,-7.099925725, 34.90544572
7,02/23/2005 12:00:00 AM,Poaching incident,2005/08/24 12:00:00 AM,-8.29454, 33.85827
46,02/23/2005 12:00:00 AM,Poaching incident,2005/08/25 12:00:00 AM,-7.843066376, 34.84676828
101,02/23/2005 12:00:00 AM,Poaching incident,2005/09/20 12:00:00 AM,-7.802140443, 34.22901734
144,02/23/2005 12:00:00 AM,Poaching incident,2005/09/20 12:00:00 AM,-7.900607341, 34.77918917
196,02/23/2005 12:00:00 AM,Poaching incident,2005/10/23 12:00:00 AM,-7.469479281, 34.12773426
248,02/23/2005 12:00:00 AM,Poaching incident,2005/10/24 12:00:00 AM,-7.919258611, 34.16284554
8,07/04/2005 12:00:00 AM,Poaching incident,2005/10/25 12:00:00 AM,-8.26621, 33.8795
47,07/04/2005 12:00:00 AM,Poaching incident,2005/10/26 12:00:00 AM,-7.669537672, 34.51401447
102,07/04/2005 12:00:00 AM,Poaching incident,2005/12/01 12:00:00 AM,-7.802241749, 34.19363321
145,07/04/2005 12:00:00 AM,Poaching incident,2005/12/02 12:00:00 AM,-7.546685415, 35.02789202
197,07/04/2005 12:00:00 AM,Poaching incident,2005/12/03 12:00:00 AM,-7.417167694, 34.08016427
249,07/04/2005 12:00:00 AM,Poaching incident,2006/01/02 12:00:00 AM,-7.732290181, 34.4657789
139,03/02/2006 12:00:00 AM,Poaching incident,2006/02/26 12:00:00 AM,-7.154018, 34.893785
10,03/26/2006 12:00:00 AM,Poaching incident,2006/03/26 12:00:00 AM,-8.29681, 33.89849
49,03/26/2006 12:00:00 AM,Poaching incident,2006/04/26 12:00:00 AM,-7.577183452, 34.39285128
104,03/26/2006 12:00:00 AM,Poaching incident,2006/05/26 12:00:00 AM,-7.697878796, 34.56612016
147,03/26/2006 12:00:00 AM,Poaching incident,2006/09/04 12:00:00 AM,-7.012464411, 34.93314779
199,03/26/2006 12:00:00 AM,Poaching incident,2006/10/26 12:00:00 AM,-7.860891137, 33.81161773
251,03/26/2006 12:00:00 AM,Poaching incident,2006/11/26 12:00:00 AM,-7.651777724, 34.74343774
2,01/10/2007 12:00:00 AM,Poaching incident,2006/12/27 12:00:00 AM,-7.76583, 34.039276
6,03/22/2007 12:00:00 AM,Poaching incident,2007/01/22 12:00:00 AM,-8.10383, 33.78181
45,03/22/2007 12:00:00 AM,Poaching incident,2007/02/27 12:00:00 AM,-8.28612278, 33.84055201
100,03/22/2007 12:00:00 AM,Poaching incident,2007/03/22 12:00:00 AM,-7.740252968, 34.01927723
143,03/22/2007 12:00:00 AM,Poaching incident,2007/04/22 12:00:00 AM,-7.992165578, 34.23230229
195,03/22/2007 12:00:00 AM,Poaching incident,2007/08/25 12:00:00 AM,-7.488198, 34.08203274
247,03/22/2007 12:00:00 AM,Poaching incident,2007/08/26 12:00:00 AM,-7.982013989, 34.09686316
9,01/25/2008 12:00:00 AM,Poaching incident,2007/09/22 12:00:00 AM,-8.27085, 33.91499
48,01/25/2008 12:00:00 AM,Poaching incident,2007/11/22 12:00:00 AM,-7.525725608, 34.52435383
103,01/25/2008 12:00:00 AM,Poaching incident,2007/11/23 12:00:00 AM,-7.723504526, 34.19613246
146,01/25/2008 12:00:00 AM,Poaching incident,2007/11/24 12:00:00 AM,-7.214790528, 35.20298617
198,01/25/2008 12:00:00 AM,Poaching incident,2007/12/24 12:00:00 AM,-7.747272223, 33.9538255
250,01/25/2008 12:00:00 AM,Poaching incident,2008/01/25 12:00:00 AM,-7.679558798, 34.553733
82,02/28/2008 12:00:00 AM,Poaching incident,2008/01/26 12:00:00 AM,-7.641739296, 33.96536774
137,02/28/2008 12:00:00 AM,Poaching incident,2008/01/27 12:00:00 AM,-8.100763304, 34.22990654
180,02/28/2008 12:00:00 AM,Poaching incident,2008/02/28 12:00:00 AM,-7.302191383, 35.04681305
232,02/28/2008 12:00:00 AM,Poaching incident,2008/02/28 12:00:00 AM,-8.045822351, 34.72303002
85,03/02/2008 12:00:00 AM,Poaching incident,2008/03/02 12:00:00 AM,-7.861918388, 33.64955024
183,03/02/2008 12:00:00 AM,Poaching incident,2008/03/02 12:00:00 AM,-7.479922677, 34.58181688
235,03/02/2008 12:00:00 AM,Poaching incident,2008/04/09 12:00:00 AM,-7.904935619, 34.85130524
83,04/09/2008 12:00:00 AM,Poaching incident,2008/04/09 12:00:00 AM,-7.82749497, 33.87276522
181,04/09/2008 12:00:00 AM,Poaching incident,2008/05/09 12:00:00 AM,-7.288590217, 35.06368036
233,04/09/2008 12:00:00 AM,Poaching incident,2008/06/10 12:00:00 AM,-8.078011224, 34.70789893
84,06/10/2008 12:00:00 AM,Poaching incident,2008/06/10 12:00:00 AM,-7.855660948, 33.69450819
182,06/10/2008 12:00:00 AM,Poaching incident,2008/07/10 12:00:00 AM,-7.248033352, 35.06010972
234,06/10/2008 12:00:00 AM,Poaching incident,2008/09/02 12:00:00 AM,-7.927339915, 34.75305645
140,12/23/2008 12:00:00 AM,Poaching incident,2008/12/23 12:00:00 AM,-7.262153, 34.814749
95,01/04/2009 12:00:00 AM,Poaching incident,2008/12/24 12:00:00 AM,-7.354514, 34.807439
34,06/19/2009 12:00:00 AM,Poaching incident,2008/12/25 12:00:00 AM,-8.02625, 33.65437
73,06/19/2009 12:00:00 AM,Poaching incident,2009/04/20 12:00:00 AM,-8.170995344, 33.76332148
128,06/19/2009 12:00:00 AM,Poaching incident,2009/04/21 12:00:00 AM,-6.99875962, 34.96568347
